grid_family,grid_index,gamma,n,initial_temp,warmup_limit,anneal_limit,max_data,final_energy,energy_gap,interval_rmse,mm_dim_truth,mm_dim_recovered,success_flag,runtime_seconds
jitter_log_0p5_0p9_21_seed24051959,20,0.9,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.011592864
custom_dense_0p75_0p9,0,0.5,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.014363655
custom_dense_0p75_0p9,1,0.54,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015405713
custom_dense_0p75_0p9,2,0.58,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013364049
custom_dense_0p75_0p9,3,0.62,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012611133
custom_dense_0p75_0p9,4,0.66,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012861225
custom_dense_0p75_0p9,5,0.7,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012558394
custom_dense_0p75_0p9,6,0.74,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.012286613
custom_dense_0p75_0p9,7,0.75,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.011840571
custom_dense_0p75_0p9,8,0.759375,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.01234717
custom_dense_0p75_0p9,9,0.76875,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012128347
custom_dense_0p75_0p9,10,0.778125,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012240975
custom_dense_0p75_0p9,11,0.7875,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012360615
custom_dense_0p75_0p9,12,0.796875,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012293812
custom_dense_0p75_0p9,13,0.80625,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012156589
custom_dense_0p75_0p9,14,0.815625,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.012114255
custom_dense_0p75_0p9,15,0.825,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.012063091
custom_dense_0p75_0p9,16,0.834375,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.012097903
custom_dense_0p75_0p9,17,0.84375,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.01158909
custom_dense_0p75_0p9,18,0.853125,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.01186188
custom_dense_0p75_0p9,19,0.8625,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011750119
custom_dense_0p75_0p9,20,0.871875,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011790931
custom_dense_0p75_0p9,21,0.88125,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.011564978
custom_dense_0p75_0p9,22,0.890625,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.012173818
custom_dense_0p75_0p9,23,0.9,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.012197182
custom_dense_0p75_0p9,24,0.925,24,100,10,10,4,148.4405064,148.4405064,1888006.672,2,1.817623626,false,0.01177683
custom_dense_0p75_0p9,25,0.95,24,100,10,10,4,148.4405064,148.4405064,1888006.672,2,1.817623626,false,0.011665203
