optimizer_seed,schedule_label,cooling_factor,budget_label,block_index,temperature,energy_eave,causal_precision,causal_recall,causal_f1,missing_relations_count,extra_relations_count,total_relations_target,total_relations_induced,correct_relations,exact_match,success_flag,delta_energy_eave,delta_causal_f1,delta_causal_recall,delta_missing_relations,delta_extra_relations,energy_down_f1_down,energy_down_recall_down,energy_down_missing_up,energy_down_extra_up
1987,gamma_0p95,0.95,medium_25_25_8,7,73.50918906,607.4501041,0.5384615385,0.1632653061,0.2505592841,287,48,343,104,56,false,false,-9.478021907,-0.1236861887,-0.1078717201,37,-13,true,true,true,false
1987,gamma_0p95,0.95,medium_25_25_8,8,69.83372961,598.0760423,0.5454545455,0.2623906706,0.3543307087,253,75,343,165,90,false,false,-9.3740618,0.1037714245,0.09912536443,-34,27,false,false,false,true
2001,gamma_0p5,0.5,medium_25_25_8,1,100,281.6646089,0.5606936416,0.2827988338,0.3759689922,246,76,343,173,97,false,false,NA,NA,NA,NA,NA,false,false,false,false
2001,gamma_0p5,0.5,medium_25_25_8,2,50,423.8315648,0.5641025641,0.1924198251,0.2869565217,277,51,343,117,66,false,false,142.1669559,-0.08901247051,-0.09037900875,31,-25,false,false,false,false
2001,gamma_0p5,0.5,medium_25_25_8,3,25,515.839069,0.5939393939,0.2857142857,0.3858267717,245,67,343,165,98,false,false,92.00750418,0.09887024991,0.09329446064,-32,16,false,false,false,false
2001,gamma_0p5,0.5,medium_25_25_8,4,12.5,465.3196887,0.5227272727,0.2011661808,0.2905263158,274,63,343,132,69,false,false,-50.51938028,-0.09530045586,-0.08454810496,29,-4,true,true,true,false
2001,gamma_0p5,0.5,medium_25_25_8,5,6.25,382.1723698,0.6176470588,0.4285714286,0.5060240964,196,91,343,238,147,false,false,-83.14731887,0.2154977806,0.2274052478,-78,28,false,false,false,true
2001,gamma_0p5,0.5,medium_25_25_8,6,3.125,303.4123577,0.6254681648,0.4868804665,0.5475409836,176,100,343,267,167,false,false,-78.76001214,0.04151688722,0.0583090379,-20,9,false,false,false,true
2001,gamma_0p5,0.5,medium_25_25_8,7,1.5625,267.2230745,0.7581395349,0.4752186589,0.5842293907,180,52,343,215,163,false,false,-36.18928319,0.03668840707,-0.01166180758,4,-48,false,true,true,false
2001,gamma_0p5,0.5,medium_25_25_8,8,0.78125,234.0683704,0.6078431373,0.2711370262,0.375,250,60,343,153,93,false,false,-33.15470412,-0.2092293907,-0.2040816327,70,8,true,true,true,true
2001,gamma_0p8,0.8,medium_25_25_8,1,100,281.6646089,0.5606936416,0.2827988338,0.3759689922,246,76,343,173,97,false,false,NA,NA,NA,NA,NA,false,false,false,false
2001,gamma_0p8,0.8,medium_25_25_8,2,80,441.7769298,0.4655172414,0.1574344023,0.2352941176,289,62,343,116,54,false,false,160.1123209,-0.1406748746,-0.1253644315,43,-14,false,false,false,false
2001,gamma_0p8,0.8,medium_25_25_8,3,64,610.3311591,0.5448275862,0.2303206997,0.3237704918,264,66,343,145,79,false,false,168.5542293,0.08847637416,0.07288629738,-25,4,false,false,false,false
2001,gamma_0p8,0.8,medium_25_25_8,4,51.2,604.4348947,0.5838150289,0.2944606414,0.3914728682,242,72,343,173,101,false,false,-5.896264423,0.06770237641,0.06413994169,-22,6,false,false,false,true
2001,gamma_0p8,0.8,medium_25_25_8,5,40.96,608.4870742,0.5324675325,0.1195335277,0.1952380952,302,36,343,77,41,false,false,4.052179507,-0.196234773,-0.1749271137,60,-36,false,false,false,false
2001,gamma_0p8,0.8,medium_25_25_8,6,32.768,564.4028173,0.5877862595,0.2244897959,0.3248945148,266,54,343,131,77,false,false,-44.0842569,0.1296564195,0.1049562682,-36,18,false,false,false,true
2001,gamma_0p8,0.8,medium_25_25_8,7,26.2144,509.6265214,0.6300578035,0.3177842566,0.4224806202,234,64,343,173,109,false,false,-54.77629594,0.09758610539,0.09329446064,-32,10,false,false,false,true
2001,gamma_0p8,0.8,medium_25_25_8,8,20.97152,488.8433244,0.5810810811,0.250728863,0.350305499,257,62,343,148,86,false,false,-20.78319698,-0.07217512117,-0.06705539359,23,-2,true,true,true,false
2001,gamma_0p9,0.9,medium_25_25_8,1,100,281.6646089,0.5606936416,0.2827988338,0.3759689922,246,76,343,173,97,false,false,NA,NA,NA,NA,NA,false,false,false,false
2001,gamma_0p9,0.9,medium_25_25_8,2,90,441.7769298,0.4655172414,0.1574344023,0.2352941176,289,62,343,116,54,false,false,160.1123209,-0.1406748746,-0.1253644315,43,-14,false,false,false,false
2001,gamma_0p9,0.9,medium_25_25_8,3,81,610.3311591,0.5448275862,0.2303206997,0.3237704918,264,66,343,145,79,false,false,168.5542293,0.08847637416,0.07288629738,-25,4,false,false,false,false
2001,gamma_0p9,0.9,medium_25_25_8,4,72.9,622.2703753,0.55,0.2565597668,0.3499005964,255,72,343,160,88,false,false,11.93921611,0.02613010462,0.02623906706,-9,6,false,false,false,false
2001,gamma_0p9,0.9,medium_25_25_8,5,65.61,604.137997,0.4333333333,0.1137026239,0.1801385681,304,51,343,90,39,false,false,-18.13237829,-0.1697620283,-0.1428571429,49,-21,true,true,true,false
2001,gamma_0p9,0.9,medium_25_25_8,6,59.049,567.8716106,0.4236111111,0.1778425656,0.250513347,282,83,343,144,61,false,false,-36.26638639,0.07037477889,0.06413994169,-22,32,false,false,false,true
